name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
SAL,ESSENT ENERGY TRADING B.V.,Boortorenweg 27,7550BD,Hengelo (O),NL,60,Natural gas,,,,52.24587,6.79479
Sloecentrale (unit 10),EPZ,Albanieweg 10,4389PR,Ritthem,NL,432,Natural gas,,,,51.44796,3.69252
Sloecentrale (unit 20),EPZ,Albanieweg 10,4389PR,Ritthem,NL,432,Natural gas,,,,51.44796,3.69252
UCML,EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,79,Natural gas,,,,51.95861,4.02609
Willem Alexander Centrale,NUON,Roermondseweg 55,6081NT,Haelen,NL,249,Hard coal,Steam turbine,,,51.22402,5.97085
corus,CORUS STAAL B.V.,Wenkebachstraat 1,1951JZ,Velsen-Noord,NL,38,Other or unspecified energy sources,,,,52.47708,4.58981
gresnigt,SEASUN,Kreekweg nan,4421RV,Kapelle,NL,24,Natural gas,,,,,
CYCOFOS TV2,,,,,FR,62,Other or unspecified energy sources,,,2009,43.42801,4.88652
PROVENCE 4 BIOMASSE,,,,,FR,150,Biomass and biogas,,,,,
CORDEMAIS 4,,,,,FR,580,Hard coal,Steam turbine,,,47.27712,-1.88012
CORDEMAIS 5,,,,,FR,580,Hard coal,Steam turbine,,,47.27712,-1.88012
EMILE HUCHET 6,,,,,FR,595,Hard coal,Steam turbine,,1981,49.15412,6.7047
HAVRE 4,,,,,FR,580,Hard coal,Steam turbine,,,49.47553,0.14711
PROVENCE 5,,,,,FR,595,Hard coal,Steam turbine,,1984,46.46883,5.48957
ARRIGHI 1,,,,,FR,125,Oil,,,,48.79151,2.41593
ARRIGHI 2,,,,,FR,129,Oil,,,,48.79151,2.41593
BRENNILIS 1,,,,,FR,85,Oil,,,,48.35702,-3.87053
BRENNILIS 2,,,,,FR,85,Oil,,,,48.35702,-3.87053
BRENNILIS 3,,,,,FR,134,Oil,,,,48.35702,-3.87053
CORDEMAIS 3,,,,,FR,0,Oil,,,,47.27712,-1.88012
DIRINON 1,,,,,FR,85,Oil,,,,48.39036,-4.26373
DIRINON 2,,,,,FR,85,Oil,,,,48.39036,-4.26373
MONTEREAU 5,,,,,FR,185,Oil,,,,48.38045,2.85108
MONTEREAU 6,,,,,FR,185,Oil,,,,48.38045,2.85108
